ST,STATE,ST_ABBR,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV,M_POV,E_UNEMP,M_UNEMP,E_PCI,M_PCI,E_NOHSDP,M_NOHSDP,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_MINRTY,M_MINRTY,E_LIMENG,M_LIMENG,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV,MP_POV,EP_UNEMP,MP_UNEMP,EP_PCI,MP_PCI,EP_NOHSDP,MP_NOHSDP,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_MINRTY,MP_MINRTY,EP_LIMENG,MP_LIMENG,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV,EPL_UNEMP,EPL_PCI,EPL_NOHSDP,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,SPL_THEME2,RPL_THEME2,EPL_MINRTY,EPL_LIMENG,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV,F_UNEMP,F_PCI,F_NOHSDP,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_THEME2,F_MINRTY,F_LIMENG,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_UNINSUR,M_UNINSUR,EP_UNINSUR,MP_UNINSUR,E_DAYPOP
06,CALIFORNIA,CA,Sierra,06091,"Sierra County, California",953.1679174,2930,161,2395,49,1241,141,241,126,60,39,31972,3760,156,79,853,82,441,48,384,128,58,45,363,221,7,47,55,49,195,86,2,12,67,51,32,40,8.3,4.4,4.6,3.0,31972.0,3760.0,6.7,3.4,29.1,2.4,15.1,1.4,13.2,4.5,4.7,3.6,12.4,7.5,0.2,1.7,2.3,2.1,8.1,3.6,0.2,1.0,5.4,4.2,1.1,1.4,0.0877,0.0526,0.4211,0.0526,0.614,0.0702,1.0,0.0175,0.5263,0.0175,1.5613,0.2105,0.0,0.0,0.0,0.0,0.0877,0.6667,0.0,0.3684,0.0877,1.2105,0.0702,3.3858,0.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,296,147,10.2,5.0,2269
06,CALIFORNIA,CA,Placer,06061,"Placer County, California",1407.0812723,380077,0,161846,327,140661,914,30293,2291,9005,783,41508,672,14403,935,71099,46,85719,0,40330,1266,8742,604,101697,173,6453,710,11592,623,4488,396,2924,392,5405,436,4171,799,8.0,0.6,4.9,0.4,41508.0,672.0,5.4,0.4,18.7,0.1,22.6,0.0,10.7,0.3,6.2,0.4,26.8,0.0,1.8,0.2,7.2,0.4,2.8,0.2,2.1,0.3,3.8,0.3,1.1,0.2,0.0526,0.1228,0.1228,0.0,0.2982,0.0175,0.6667,0.6316,0.2281,0.2105,1.7369,0.2807,0.2281,0.2456,0.4737,0.2105,0.5439,0.1404,0.1228,0.0702,0.0877,0.965,0.0175,3.4738,0.0175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17902,1315,4.7,0.3,355423
06,CALIFORNIA,CA,El Dorado,06017,"El Dorado County, California",1707.8412963,186661,0,89763,117,69172,735,16537,1571,5480,623,40382,874,9299,940,36751,45,38016,68,24687,1011,3829,425,40671,166,3079,536,4353,453,4913,426,1532,266,2850,393,1780,265,8.9,0.8,6.2,0.7,40382.0,874.0,6.9,0.7,19.7,0.1,20.4,0.0,13.3,0.5,5.5,0.6,21.8,0.1,1.7,0.3,4.8,0.5,5.5,0.5,2.2,0.4,4.1,0.6,1.0,0.1,0.1053,0.3509,0.1404,0.0877,0.6843,0.0877,0.7193,0.3509,0.5789,0.1053,1.7544,0.2982,0.1579,0.193,0.3509,0.1579,0.4211,0.4211,0.1404,0.1053,0.0351,1.123,0.0351,3.9126,0.0351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9656,1029,5.2,0.6,146428
06,CALIFORNIA,CA,Nevada,06057,"Nevada County, California",957.759727,99092,0,53654,144,40904,677,11169,1187,2971,465,37145,1218,4386,569,25177,103,17189,93,14614,1049,2506,377,14622,147,1006,321,2020,312,3408,363,808,187,1689,304,1230,329,11.4,1.2,6.4,1.0,37145.0,1218.0,5.8,0.7,25.4,0.1,17.3,0.1,14.9,1.1,6.1,0.9,14.8,0.1,1.1,0.3,3.8,0.6,6.4,0.7,2.0,0.5,4.1,0.7,1.2,0.3,0.2982,0.4035,0.2105,0.0175,0.9297,0.2105,0.8596,0.1579,0.6667,0.193,1.8772,0.386,0.0175,0.1053,0.1228,0.0526,0.2807,0.5263,0.0877,0.1053,0.1754,1.1754,0.0526,4.1051,0.0526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7605,853,7.8,0.9,81264
06,CALIFORNIA,CA,Mono,06051,"Mono County, California",3048.9851335,14174,0,14078,43,4847,426,1454,520,262,166,33421,2868,1131,292,2030,114,2689,102,915,343,253,139,4940,121,590,305,1754,308,722,195,67,49,127,75,334,116,10.4,3.7,3.1,1.9,33421.0,2868.0,11.3,2.9,14.3,0.8,19.0,0.7,6.5,2.4,5.2,2.8,34.9,0.9,4.3,2.2,12.5,2.2,5.1,1.4,1.4,1.0,2.6,1.5,2.4,0.8,0.2281,0.0,0.3333,0.3509,0.9123,0.1754,0.4035,0.193,0.0,0.0526,0.6491,0.0,0.3684,0.4035,0.7719,0.4035,0.7895,0.4035,0.0526,0.0351,0.5439,1.8246,0.1579,4.1579,0.0702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2335,496,16.6,3.5,12924
06,CALIFORNIA,CA,Marin,06041,"Marin County, California",520.4565338,260295,0,112868,235,105258,753,19341,1449,5149,530,69275,1467,12883,823,54625,138,52908,0,22811,1100,6528,590,74486,544,9959,857,15406,826,1367,242,4284,471,5130,443,7573,556,7.6,0.6,3.8,0.4,69275.0,1467.0,6.8,0.4,21.0,0.1,20.3,0.0,8.9,0.4,6.2,0.6,28.6,0.2,4.0,0.3,13.6,0.7,1.2,0.2,4.1,0.4,4.9,0.4,2.9,0.2,0.0175,0.0175,0.0,0.0702,0.1052,0.0,0.7719,0.3333,0.0702,0.2105,1.3859,0.1228,0.2632,0.386,0.6492,0.3509,0.8246,0.0351,0.386,0.2632,0.6667,2.1756,0.3333,4.3159,0.0877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10252,969,4.0,0.4,229726
06,CALIFORNIA,CA,Calaveras,06009,"Calaveras County, California",1020.0155378,45235,0,27988,58,17417,434,5242,1001,1116,285,32494,1539,3332,481,12214,167,7768,199,9603,827,1131,291,8330,66,314,166,328,109,2069,341,349,151,431,128,499,141,11.7,2.2,6.1,1.6,32494.0,1539.0,9.6,1.4,27.0,0.4,17.2,0.4,21.4,1.8,6.5,1.7,18.4,0.1,0.7,0.4,1.2,0.4,7.4,1.2,2.0,0.9,2.5,0.7,1.1,0.3,0.3333,0.2807,0.386,0.1579,1.1579,0.2632,0.9825,0.1404,0.9825,0.2632,2.3686,0.7368,0.0702,0.0351,0.1053,0.0351,0.0175,0.6316,0.0877,0.0175,0.0877,0.842,0.0,4.4738,0.1053,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,2,2333,616,5.2,1.4,33492
06,CALIFORNIA,CA,San Mateo,06081,"San Mateo County, California",448.6353251,765935,0,276444,335,261969,1067,53387,2671,17556,1179,57375,637,59339,1756,117867,0,161248,0,65049,1837,14864,822,462888,431,54023,2110,55958,1270,3047,251,20547,987,14038,741,9977,790,7.0,0.4,4.1,0.3,57375.0,637.0,10.8,0.3,15.4,0.0,21.1,0.0,8.5,0.2,5.7,0.3,60.4,0.1,7.5,0.3,20.2,0.5,1.1,0.1,7.8,0.4,5.4,0.3,1.3,0.1,0.0,0.0351,0.0351,0.2982,0.3684,0.0351,0.5439,0.4211,0.0351,0.1579,1.158,0.0877,0.7018,0.5614,1.2632,0.5965,0.8947,0.0175,0.7544,0.3684,0.2281,2.2631,0.3509,5.0527,0.1228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36429,2248,4.8,0.3,651541
06,CALIFORNIA,CA,Plumas,06063,"Plumas County, California",2553.0612154,18699,0,15772,50,8047,337,2146,427,516,163,32710,3081,874,236,4988,102,3063,37,3411,417,443,152,3128,204,168,116,230,84,1895,273,74,47,453,131,392,101,11.7,2.3,6.4,2.0,32710.0,3081.0,6.1,1.6,26.7,0.5,16.4,0.2,18.4,2.3,5.5,1.9,16.7,1.1,0.9,0.7,1.5,0.5,12.0,1.7,0.9,0.6,5.6,1.6,2.1,0.5,0.3333,0.4035,0.3509,0.0351,1.1228,0.2456,0.9474,0.0877,0.8246,0.1053,1.965,0.4737,0.0351,0.0877,0.1228,0.0526,0.0351,0.8421,0.0175,0.5088,0.4737,1.8772,0.1754,5.0878,0.1404,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,647,198,3.5,1.1,18101
06,CALIFORNIA,CA,San Luis Obispo,06079,"San Luis Obispo County, California",3300.6361615,281455,0,121095,364,105317,1020,35303,1956,6175,659,35832,718,17123,949,52758,76,50492,0,31615,1212,6938,704,86881,110,9045,905,7329,604,9630,598,3482,413,4557,435,16435,898,13.3,0.7,4.6,0.5,35832.0,718.0,9.1,0.5,18.7,0.1,17.9,0.0,11.5,0.4,6.6,0.7,30.9,0.0,3.4,0.3,6.1,0.5,8.0,0.5,3.3,0.4,4.3,0.4,5.8,0.3,0.386,0.0526,0.2632,0.1053,0.8071,0.1404,0.6667,0.1754,0.3509,0.2982,1.4912,0.193,0.2982,0.3333,0.6315,0.3158,0.4912,0.6491,0.2982,0.1579,0.8947,2.4911,0.4912,5.4209,0.1579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20715,1592,7.5,0.6,265934
